Academic Journal|0065-1281|Acta Histochemica|Elsevier GmbH, Urban & Fischer Verlag|Y
Academic Journal|0001-5903|Acta Informatica|Springer Science & Business Media B.V.|Y
Academic Journal|1359-6454|Acta Materialia|Elsevier Science|Y
Academic Journal|0001-5962|Acta Mathematica|Springer Science & Business Media B.V.|Y
Academic Journal|0236-5294|Acta Mathematica Hungarica|Springer Science & Business Media B.V.|Y
Academic Journal|1439-8516|Acta Mathematica Sinica|Springer Science & Business Media B.V.|Y
Academic Journal|0862-9544|Acta Mathematica Universitatis Comenianae|Acta Mathematica Universitatis Comenianae|Y
Academic Journal|0001-5970|Acta Mechanica|Springer Science & Business Media B.V.|Y
Academic Journal|1840-1848|Acta Medica Academica|Academy of Sciences & Arts of Bosnia & Herzegovina|Y
Academic Journal|0303-8173|Acta Medica Austriaca|Springer Science & Business Media B.V.|Y
Academic Journal|0044-6025|Acta Medica Iranica|Tehran University of Medical Sciences|Y
Academic Journal|1392-0138|Acta Medica Lituanica|Lithuanian Academy of Sciences Publishers|Y
Academic Journal|2068-3324|Acta Medica Marisiensis|Universitatea de Medicina si Farmacie Targu Mures|Y
Academic Journal|1335-8421|Acta Medica Martiniana|De Gruyter Open|Y
Academic Journal|0365-4478|Acta Medica Medianae|Acta Medica Medianae|Y
Academic Journal|1453-1968|Acta Medica Transilvanica|Acta Medica Transilvanica|Y
Academic Journal|1334-4366|Acta Medico-Historica Adriatica|Acta Medico-Historica Adriatica|Y
Academic Journal|0798-4545|Acta Microscopica|CIASEM: Interamerican Committee of Societies for Electron Microscopy|Y
Academic Journal|0036-5343|Acta Musei Nationalis Pragae, Series B - Historia Naturalis|National Museum|Y
Academic Journal|0001-6268|Acta Neurochirurgica|Springer Science & Business Media B.V.|Y
Academic Journal|0001-6314|Acta Neurologica Scandinavica|Wiley-Blackwell|Y
Academic Journal|0001-6322|Acta Neuropathologica|Springer Science & Business Media B.V.|Y
Academic Journal|0924-2708|Acta Neuropsychiatrica|Cambridge University Press|Y
Academic Journal|0001-6349|Acta Obstetricia et Gynecologica Scandinavica|Wiley-Blackwell|Y
Academic Journal|0001-6357|Acta Odontologica Scandinavica|Taylor & Francis Ltd|Y
Academic Journal|1146-609X|Acta Oecologica|Elsevier Science|Y
Academic Journal|1509-409X|Acta of Bioengineering & Biomechanics|Oficyna Wydawnicza Politechniki Wroclawskiej|Y
Academic Journal|0284-186X|Acta Oncologica|Taylor & Francis Ltd|Y
Academic Journal|1100-1704|Acta Oncologica. Supplement|Taylor & Francis Ltd|Y
Academic Journal|1755-375X|Acta Ophthalmologica (1755375X)|Wiley-Blackwell|Y
Academic Journal|1395-3907|Acta Ophthalmologica Scandinavica|Wiley-Blackwell|Y
Academic Journal|1745-3674|Acta Orthopaedica|Taylor & Francis Ltd|Y
Academic Journal|1745-3690|Acta Orthopaedica (Supplement)|Taylor & Francis Ltd|Y
Academic Journal|0001-6470|Acta Orthopaedica Scandinavica|Taylor & Francis Ltd|Y
Academic Journal|1665-4714|Acta Ortopedica Mexicana|Sociedad Mexicana de Ortopedia, AC|Y
Academic Journal|0001-6489|Acta Oto-Laryngologica|Taylor & Francis Ltd|Y
Academic Journal|0365-5237|Acta Oto-Laryngologica (Supplement)|Taylor & Francis Ltd|Y
Academic Journal|0803-5253|Acta Paediatrica|Wiley-Blackwell|Y
Academic Journal|0803-5326|Acta Paediatrica. Supplement|Wiley-Blackwell|Y
Academic Journal|0186-2391|Acta Pediatrica de Mexico|Instituto Nacional de Pediatria (INP)|Y
Academic Journal|0587-4254|Acta Physica Polonica B|Acta Physica Polonica B|Y
Academic Journal|0587-4246|Acta Physica Polonica, A.|Instytut Fizyki, Polska Akademia Nauk|Y
Academic Journal|1748-1708|Acta Physiologica|Wiley-Blackwell|Y
Academic Journal|0001-6772|Acta Physiologica Scandinavica|Wiley-Blackwell|Y
Academic Journal|0185-3082|Acta Poetica|Instituto de Investigaciones Filologicas - UNAM|Y
Academic Journal|0300-8967|Acta Psychiatrica Belgica|Acta Psychiatrica Belgica SRMMB|Y
Academic Journal|0001-690X|Acta Psychiatrica Scandinavica|Wiley-Blackwell|Y
Academic Journal|0065-1591|Acta Psychiatrica Scandinavica. Supplementum|Wiley-Blackwell|Y
Academic Journal|0001-6918|Acta Psychologica|Elsevier Science|Y
Academic Journal|0284-1851|Acta Radiologica|Sage Publications, Ltd.|Y
Academic Journal|2047-9816|Acta Radiologica Short Reports|Sage Publications, Ltd.|Y
Academic Journal|1678-0345|Acta Scientiae Veterinariae|Acta Scientiae Veterinariae|Y
Academic Journal|1644-0730|Acta Scientiarum Polonorum. Technologia Alimentaria|Acta Scientarium Polonorum: Technologia Alimentaria|Y
Academic Journal|1644-065X|Acta Scientiarum Polonorum: Biotechnologia|Wroclaw University of Environmental & Life Sciences|Y
Academic Journal|1644-0668|Acta Scientiarum Polonorum: Geodesia et Descriptio Terrarum|Wroclaw University of Environmental & Life Sciences|Y
Academic Journal|1644-0676|Acta Scientiarum Polonorum: Medicina Veterinaria|Wroclaw University of Environmental & Life Sciences|Y
Academic Journal|1679-9275|Acta Scientiarum: Agronomy|Universidade Estadual de Maringa|Y
Academic Journal|1679-7361|Acta Scientiarum: Human & Social Sciences|Universidade Estadual de Maringa|Y
Academic Journal|0001-6977|Acta Societatis Botanicorum Poloniae|Polish Botanical Society|Y
Academic Journal|0001-6993|Acta Sociologica (Sage Publications, Ltd.)|Sage Publications|Y
Academic Journal|0001-6993|Acta Sociologica (Taylor & Francis Ltd)|Taylor & Francis Ltd|Y
Academic Journal|2067-3809|Acta Technica Corvininesis - Bulletin of Engineering|University Politehnica Timisoara, Faculty of Engineering Hunedoara|Y
Academic Journal|1015-8758|Acta Theologica|Acta Theologica|Y
Academic Journal|1731-6383|Acta Toxicologica|Nofer Institute of Occupational Medicine|Y
Academic Journal|0001-706X|Acta Tropica|Elsevier Science|Y
Academic Journal|1308-8351|Acta Turcica|Acta Turcica|Y
Academic Journal|2065-5916|Acta Universitatis Sapientiae - Electrical & Mechanical Engineering|Universitatea Sapientia|Y
Academic Journal|0567-8315|Acta Veterinaria|National Library of Serbia|Y
Academic Journal|0001-7213|Acta Veterinaria Brno|University of Veterinary & Pharmaceutical Sciences, Brno|Y
Academic Journal|0044-605X|Acta Veterinaria Scandinavica|BioMed Central|Y
Academic Journal|0001-7272|Acta Zoologica|Wiley-Blackwell|Y
Academic Journal|1392-1657|Acta Zoologica Lituanica|Nature Research Centre|Y
Academic Journal|0065-1737|Acta Zool¢gica Mexicana|Instituto de Ecologia A.C.|Y
Academic Journal|1139-9287|Actas Espanolas de Psiquiatria|Comunicacion y Ediciones Sanitarias SL|Y
Academic Journal|1476-7503|Action Research|Sage Publications|Y
Academic Journal|0882-7516|Active & Passive Electronic Components|Hindawi Publishing Corporation|Y
Academic Journal|1469-7874|Active Learning in Higher Education|Sage Publications|Y
Academic Journal|1802-9698|Activitas Nervosa Superior|Center for Neuropsychiatric Research of Traumatic Stress (ANS)|Y
Academic Journal|0192-4788|Activities, Adaptation & Aging|Taylor & Francis Ltd|Y
Academic Journal|1803-9588|Actual Gynecology & Obstetrics / Aktu†ln° Gynekologie a Porodnictv°|Actual Gynecology & Obstetrics|Y
Academic Journal|1578-956X|Actualidad Juridica (1578-956X)|Dykinson SL|Y
Magazine|0229-9429|Actualite Medicale|Rogers Publishing Limited|
Academic Journal|1748-2941|Acute Cardiac Care|Taylor & Francis Ltd|Y
Academic Journal|1366-0071|Acute Pain|Elsevier Science|Y
Magazine|1041-102X|Ad Astra|National Space Society|
Academic Journal|1126-6244|Adamantius|Editrice Morcelliana S.p.A.|Y
Academic Journal|0736-5829|Adapted Physical Activity Quarterly|Human Kinetics Publishers, Inc.|Y
Academic Journal|1059-7123|Adaptive Behavior|Sage Publications|Y
Academic Journal|0965-2140|Addiction|Wiley-Blackwell|Y
Magazine|1052-4614|Addiction & Recovery|Medquest Communications|
Academic Journal|1355-6215|Addiction Biology|Wiley-Blackwell|Y
Magazine|8756-405X|Addiction Letter|Manisses Communications Group Inc.|
Academic Journal|1058-6989|Addiction Research|Taylor & Francis Ltd|Y
Academic Journal|1606-6359|Addiction Research & Theory|Taylor & Francis Ltd|Y
Academic Journal|0306-4603|Addictive Behaviors|Pergamon Press - An Imprint of Elsevier Science|Y
Academic Journal|0306-3747|Additives for Polymers|Elsevier Science|Y
Magazine|1065-8025|ADHD Report|Guilford Publications Inc.|
Academic Journal|1665-014X|Administracion y Organizaciones|Universidad Autonoma Metropolitana, Xochimilco|Y
Academic Journal|0894-587X|Administration & Policy in Mental Health & Mental Health Services Research|Springer Science & Business Media B.V.|Y
Academic Journal|0364-3107|Administration in Social Work|Taylor & Francis Ltd|Y
Magazine|1544-1547|Administrative & Regulatory Law News|American Bar Association|
Academic Journal|1084-1806|Administrative Theory & Praxis (Administrative Theory & Praxis)|Administrative Theory & Praxis|Y
Academic Journal|1084-1806|Administrative Theory & Praxis (M.E. Sharpe)|M.E. Sharpe Inc.|Y
Magazine|0744-7078|Administrator|Magna Publications Inc.|
Academic Journal|0001-8449|Adolescence|Libra Publishers Inc.|Y
Academic Journal|1179-318X|Adolescent Health, Medicine & Therapeutics|Dove Medical Press Ltd|Y
Academic Journal|0065-2008|Adolescent Psychiatry|Taylor & Francis Ltd|Y
Academic Journal|1092-6755|Adoption Quarterly|Taylor & Francis Ltd|Y
Academic Journal|0263-6174|Adsorption Science & Technology|Multi-Science Publishing Co Ltd|Y
Academic Journal|1052-231X|Adult Basic Education|Commission on Adult Basic Education|Y
Academic Journal|1934-2322|Adult Basic Education & Literacy Journal|Commission on Adult Basic Education|Y
Academic Journal|0741-7136|Adult Education Quarterly|American Association for Adult & Continuing Education|Y
Academic Journal|1045-1595|Adult Learning|American Association for Adult & Continuing Education|Y
Magazine|0955-2308|Adults Learning|National Institute of Adult Continuing Education|
Academic Journal|1524-6817|Adultspan Journal|Wiley-Blackwell|Y
Magazine||Advance|Texas A&M University|
Academic Journal|0924-3046|Advanced Composite Materials|Taylor & Francis Ltd|Y
Academic Journal|0169-409X|Advanced Drug Delivery Reviews|Elsevier Science|Y
Academic Journal|1931-4485|Advanced Emergency Nursing Journal|Lippincott Williams & Wilkins|Y
Academic Journal|1474-0346|Advanced Engineering Informatics|Elsevier Science|Y
Magazine|1095-1415|Advanced Fuel Cell Technology|Seven Mountains Scientific Inc.|
Academic Journal|0882-7958|Advanced Materials & Processes|ASM International|Y
Trade Publication|1065-0555|Advanced Packaging|PennWell Corporation|
Academic Journal|0921-8831|Advanced Powder Technology|Elsevier Science|Y
Academic Journal|0169-1864|Advanced Robotics|Taylor & Francis Ltd|Y
Academic Journal|1687-6261|Advances in Acoustics & Vibration|Hindawi Publishing Corporation|Y
Academic Journal|2066-7639|Advances in Agriculture & Botanics|Bioflux SRL|Y
Academic Journal||Advances in Agronomy|Academic Press|Y
Academic Journal|1743-6753|Advances in Applied Ceramics: Structural, Functional & Bioceramics|Maney Publishing|Y
Academic Journal|0973-5313|Advances in Applied Mathematical Analysis|Research India Publications|Y
Academic Journal|0196-8858|Advances in Applied Mathematics|Academic Press|Y
Academic Journal|1742-9412|Advances in Art, Urban Futures|Intellect Ltd.|Y
Academic Journal|1687-7969|Advances in Astronomy|Hindawi Publishing Corporation|Y
Academic Journal|2212-4926|Advances in Biological Regulation|Elsevier Science|Y
Academic Journal|0976-4585|Advances in Bioresearch|Society of Education|Y
Academic Journal|0065-2296|Advances in Botanical Research|Academic Press|Y
Magazine|1742-0946|Advances in Breast Cancer|Mediscript Ltd.|
Academic Journal|1312-6164|Advances in Bulgarian Science|Advances in Bulgarian Science|Y
Academic Journal|1864-8258|Advances in Calculus of Variations|De Gruyter|Y
Academic Journal|0951-7197|Advances in Cement Research|Thomas Telford Ltd|Y
Academic Journal|1895-1171|Advances in Cognitive Psychology|Advances in Cognitive Psychology|Y
Academic Journal|0001-8686|Advances in Colloid & Interface Science|Elsevier Science|Y
Academic Journal|0219-5259|Advances in Complex Systems|World Scientific Publishing Company|Y
Academic Journal|1019-7168|Advances in Computational Mathematics|Springer Science & Business Media B.V.|Y
Academic Journal|1642-395X|Advances in Dermatology & Allergology / Postepy Dermatologii i Alergologii|Termedia Publishing House|Y
Academic Journal|1687-1839|Advances in Difference Equations|Springer Science & Business Media B.V.|Y
Academic Journal|0973-5321|Advances in Dynamical Systems & Applications|Research India Publications|Y
Academic Journal|0065-2504|Advances in Ecological Research|Academic Press|Y
Academic Journal|0965-9978|Advances in Engineering Software|Elsevier Science|Y
Academic Journal|1093-0191|Advances in Environmental Research|Pergamon Press - An Imprint of Elsevier Science|Y
Academic Journal|0065-2571|Advances in Enzyme Regulation|Pergamon Press - An Imprint of Elsevier Science|Y
Academic Journal|0973-533X|Advances in Fuzzy Mathematics|Research India Publications|Y
Magazine|1479-9995|Advances in Gastrointestinal Cancers|Mediscript Ltd.|
Academic Journal|1179-9870|Advances in Genomics & Genetics|Dove Medical Press Ltd|Y
Academic Journal|1615-715X|Advances in Geometry|De Gruyter|Y
Academic Journal|1687-9104|Advances in Hematology|Hindawi Publishing Corporation|Y
Academic Journal|1687-7357|Advances in High Energy Physics|Hindawi Publishing Corporation|Y
Academic Journal|1732-2693|Advances in Hygiene & Experimental Medicine / Postepy Higieny i Medycyny Doswiadczalnej|Joanna Lewczuk|Y
Academic Journal|0065-2881|Advances in Marine Biology|Academic Press|Y
Academic Journal|1687-8434|Advances in Materials Science & Engineering|Hindawi Publishing Corporation|Y
Academic Journal|0001-8708|Advances in Mathematics|Academic Press|Y
Academic Journal|1179-7258|Advances in Medical Education & Practice|Dove Medical Press Ltd|Y
Academic Journal|1896-1126|Advances in Medical Sciences (De Gruyter Open)|De Gruyter Open|Y
Academic Journal|1896-1126|Advances in Medical Sciences (Elsevier Inc.)|Elsevier Inc.|Y
Academic Journal|1837-4905|Advances in Mental Health|eContent Management Pty. Ltd.|Y
Academic Journal|2044-1282|Advances in Mental Health & Intellectual Disabilities|Emerald Group Publishing Limited|Y
Academic Journal|1687-9309|Advances in Meteorology|Hindawi Publishing Corporation|Y
Academic Journal|1854-0031|Advances in Methodology & Statistics / Metodoloski zvezki|Statistical Society of Slovenia|Y
Academic Journal|1802-2308|Advances in Military Technology|Advances in Military Technology|Y
Academic Journal|1470-3556|Advances in Mind-Body Medicine|PH Innovisions Journal Operating LLC|Y
Academic Journal|1307-3923|Advances in Molecular Biology|Advances in Molecular Biology|Y
Academic Journal|1687-9562|Advances in Numerical Analysis|Hindawi Publishing Corporation|Y
Academic Journal|1947-5721|Advances in Oceanography & Limnology|Taylor & Francis Ltd|Y
Academic Journal|1750-5925|Advances in Oncology|Mediscript Ltd.|Y
Academic Journal|1758-8294|Advances in Orthopaedics|Remedica Medical Education & Publishing|Y
Academic Journal|2090-3464|Advances in Orthopedics|Hindawi Publishing Corporation|Y
Academic Journal|1898-3863|Advances in Palliative Medicine|VM Medica-VM Group (Via Medica)|Y
Academic Journal|0065-308X|Advances in Parasitology|Academic Press|Y
Academic Journal|1687-6334|Advances in Pharmacological Sciences|Hindawi Publishing Corporation|Y
Academic Journal|0973-2381|Advances in Pharmacology & Toxicology|Advances in Pharmacology & Toxicology|Y
Academic Journal|1687-7985|Advances in Physical Chemistry|Hindawi Publishing Corporation|Y
Academic Journal|0001-8732|Advances in Physics|Taylor & Francis Ltd|Y
Academic Journal|2045-0117|Advances in Physics of Metals|Cambridge International Science Publishing Ltd.|Y
Academic Journal|1043-4046|Advances in Physiology Education|American Physiological Society|Y
Academic Journal|1403-8196|Advances in Physiotherapy|Taylor & Francis Ltd|Y
Academic Journal|2090-3480|Advances in Preventive Medicine|Hindawi Publishing Corporation|Y
Academic Journal|1854-6250|Advances in Production Engineering & Management|Production Engineering Institute (PEI), University of Maribor|Y
Academic Journal|2041-2525|Advances in Psoriasis & Inflammatory Skin Diseases|Remedica Medical Education & Publishing|Y
Academic Journal|1684-9965|Advances in Radio Science|Copernicus Gesellschaft mbH|Y
Academic Journal|1992-0628|Advances in Science & Research|Copernicus Gesellschaft mbH|Y
Academic Journal|0273-1177|Advances in Space Research|Pergamon Press - An Imprint of Elsevier Science|Y
Academic Journal|1369-4332|Advances in Structural Engineering|Multi-Science Publishing Co Ltd|Y
Academic Journal|0973-4554|Advances in Theoretical & Applied Mathematics|Research India Publications|Y
Academic Journal|1824-5463|Advances in Transportation Studies|Advances in Transportation Studies|Y
Academic Journal|1687-5915|Advances in Tribology|Hindawi Publishing Corporation|Y
Academic Journal|1687-6369|Advances in Urology|Hindawi Publishing Corporation|Y
Academic Journal|1687-8639|Advances in Virology|Hindawi Publishing Corporation|Y
Academic Journal|0309-1708|Advances in Water Resources|Elsevier Science|Y
Academic Journal|0741-9783|Advances: The Journal of Mind-Body Health|PH Innovisions Journal Operating LLC|Y
Academic Journal|1044-7385|Advancing the Consumer Interest|American Council on Consumer Interests|Y
Trade Publication|0001-8899|Advertising Age|Crain Communications|
Magazine|0001-8996|Advocate|Here Media Inc.|
Academic Journal|0124-0102|Advocatus|Universidad Libre Seccional Barranquilla|Y
Trade Publication|1536-2272|Adweek Magazines' Technology Marketing|Prometheus Global Media, LLC|
Magazine|1605-959X|AEN Infos (OECD Nuclear Energy Agency)|OECD Nuclear Energy Agency|
Academic Journal|0278-6826|Aerosol Science & Technology|Taylor & Francis Ltd|Y
Magazine|0740-722X|Aerospace America|American Institute of Aeronautics & Astronautics|
Academic Journal|1535-4245|Aerospace Power Journal|Superintendent of Documents|Y
Academic Journal|1270-9638|Aerospace Science & Technology|Elsevier Science|Y
Academic Journal|1549-4470|Aestimatio: Critical Reviews in the History of Science|Institute for Research in Classical Philosophy & Science (IRCPS)|Y
Academic Journal|1592-6117|Aestimum|Firenze University Press|Y
Academic Journal|1434-8411|AEU: International Journal of Electronics & Communications|Elsevier Science|Y
Academic Journal|1449-5937|AFBM Journal: Agricultural Business Management & Farming Systems|Charles Sturt University, Orange Campus|Y
Academic Journal|0123-8884|Affectio Societatis|Affectio Societatis|Y
Academic Journal|0886-1099|Affilia: Journal of Women & Social Work|Sage Publications|Y
Magazine|0360-5485|Affiliate|American Bar Association|
Magazine|1528-4077|AFP Exchange|Association for Financial Professionals|
Academic Journal|0001-9720|Africa (Cambridge University Press)|Cambridge University Press|Y
Academic Journal|0001-9720|Africa (Edinburgh University Press)|Edinburgh University Press|Y
Academic Journal|0044-6483|Africa Confidential|Africa Confidential|Y
Trade Publication|0141-9536|Africa Health|FSG Communications Ltd.|
Academic Journal|0001-9836|Africa Report|Africa-America Institute|Y
Academic Journal|0001-9844|Africa Research Bulletin: Political, Social & Cultural Series|Wiley-Blackwell|
Academic Journal|0001-9887|Africa Today|Indiana University Press|Y
Academic Journal|0266-6731|Africa: Bibliography (Cambridge University Press)|Cambridge University Press|
Academic Journal|0266-6731|Africa: Bibliography (Edinburgh University Press)|Edinburgh University Press|
Academic Journal|1569-2094|African & Asian Studies|Brill Academic Publishers|Y
Academic Journal|0001-9909|African Affairs|Oxford University Press|Y
Academic Journal|1062-4783|African American Review|African American Review|Y
Academic Journal|0263-0338|African Archaeological Review|Springer Science & Business Media B.V.|Y
Academic Journal|0001-9933|African Arts|MIT Press|Y
Academic Journal|1017-6772|African Development Review|Wiley-Blackwell|Y
Academic Journal|1539-851X|African Diaspora Journal of Mathematics|Mathematical Research Publishers (MRP)|Y
Academic Journal|1937-6812|African Geographical Review|Routledge|Y
Academic Journal|1472-5843|African Identities|Routledge|Y
Academic Journal|1681-5556|African Invertebrates|Natal Museum|Y
Academic Journal|1608-5906|African Journal of AIDS Research (AJAR)|Taylor & Francis Ltd|Y
Academic Journal|1608-5914|African Journal of Aquatic Science|Taylor & Francis Ltd|Y
